category,text
컴퓨터,A computer is a machine that can be instructed to carry out sequences of arithmetic or logical operations automatically via computer programming. 
컴퓨터,"Modern computers have the ability to follow generalized sets of operations, called programs. "
컴퓨터,These programs enable computers to perform an extremely wide range of tasks.
컴퓨터,"A ""complete"" computer including the hardware, the operating system (main software), and peripheral equipment required and used for ""full"" operation can be referred to as a computer system. "
컴퓨터,"This term may as well be used for a group of computers that are connected and work together, in particular a computer network or computer cluster."
사과,"An apple is a sweet, edible fruit produced by an apple tree (Malus pumila). "
사과,Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. 
사과,"The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today. "
사과,Apples have been grown for thousands of years in Asia and Europe and were brought to North America by European colonists. 
사과,"Apples have religious and mythological significance in many cultures, including Norse, Greek and European Christian traditions."
청바지,"Jeans are a type of pants or trousers, typically made from denim or dungaree cloth. "
청바지,"Often the term ""jeans"" refers to a particular style of trousers, called ""blue jeans"", which were invented by Jacob W. "
청바지,"Davis in partnership with Levi Strauss & Co. in 1871[1] and patented by Jacob W. Davis and Levi Strauss on May 20, 1873. "
청바지,"Prior to the Levi Strauss patented trousers, the term ""blue jeans"" had been long in use for various garments (including trousers, overalls, and coats), constructed from blue-colored denim."
청바지,Jean also references a (historic) type of sturdy cloth commonly made with a cotton warp and wool weft
국수,"Noodles are usually cooked in boiling water, sometimes with cooking oil or salt added. "
국수,Noodles can be served with an accompanying sauce or in a soup. 
국수,Noodles can be refrigerated for short-term storage or dried and stored for future use. 
국수,The material composition or geocultural origin must be specified when discussing noodles. 
국수,Noodles are a staple food in many cultures.
코끼리,Elephants are large mammals of the family Elephantidae in the order Proboscidea. 
코끼리,"Elephants are scattered throughout sub-Saharan Africa, South Asia, and Southeast Asia. "
코끼리,"Their incisors grow into tusks, which can serve as weapons and as tools for moving objects and digging. "
코끼리,Elephants' large ear flaps help to control their body temperature. Their pillar-like legs can carry their great weight. 
코끼리,African elephants have larger ears and concave backs while Asian elephants have smaller ears and convex or level backs.
